Title,Rating,WatchedDate,Review,Year,Nation,douban_link,imdbId
过春天,4,2019/8/25,前半部分比较好，青春的躁动，热烈有非常好的展现。后面感觉有些草率，以及警察空降这样很无奈的剧情，不知道原来的结局是什么。,2018/9/8,多伦多电影节,https://movie.douban.com/subject/27191431/,tt8875366
头文字D / 頭文字D,4,2019/8/24,十几年后重看，觉得很不错。,2005/6/19,北京首映,https://movie.douban.com/subject/1329562/,tt0439630
罗马 / Roma,5,2019/8/23,,2018/8/30,威尼斯电影节,https://movie.douban.com/subject/1950330/,tt6155172
寄生虫 / 기생충,4,2019/8/7,"说不出是巧合还是其他，伴随着一场暴雨看完了这部电影，与电影里的暴雨相互呼应。
第二次看这类悬疑片的一大乐趣就在于，你会找到第一遍没注意到的很多细节，提示。(3 有用)",2019/5/21,戛纳电影节,https://movie.douban.com/subject/27010768/,tt6751668
小森林 夏秋篇 / リトル・フォレスト 夏・秋,5,2019/7/3,,2014/8/30,日本,https://movie.douban.com/subject/25814705/,tt3474600
小森林 冬春篇 / リトル・フォレスト 冬・春,5,2019/7/3,,2015/2/14,日本,https://movie.douban.com/subject/25814707/,tt3474602
地久天长,4,2019/6/6,,2019/2/14,柏林电影节,https://movie.douban.com/subject/26715636/,tt9581076
调音师 / Andhadhun,3,2019/5/16,前半部分挺好，后面的剧情发展有些失控，不合情理的地方挺多。,2018/10/5,印度,https://movie.douban.com/subject/30334073/,tt8108198
地平线: 马航370，你在哪？ / Horizon: Where is Flight MH370?,5,2019/5/16,看了几个主要的纪录片，这部是把整个事件说的最清楚的，所有的结论完全根据事实数据，并且雷达的工作原理，海事卫星的工作原理也用最简单的语言说得很清楚。  没有不确定的推论，即使那个推论无比接近事实。(2 有用),,,https://movie.douban.com/subject/25912715/,tt3807922
权力的游戏 第一季 / Game of Thrones Season 1,4,2019/4/19,角色塑造很成功，血腥情色内容过多。,2011/4/17,美国,https://movie.douban.com/subject/3016187/,tt0944947
小武,5,2019/4/19,,1998/2/18,柏林电影节,https://movie.douban.com/subject/1291851/,tt0144020
风中有朵雨做的云,4,2019/4/19,看不惯马思纯,2018/11/9,台北金马影展,https://movie.douban.com/subject/26728669/,tt8071308
海王 / Aquaman,2,2019/4/16,保护环境宣传片。,2018/12/7,中国大陆,https://movie.douban.com/subject/3878007/,tt1477834
半生缘 / 半生緣,5,2019/4/15,,1997/9/12,中国大陆,https://movie.douban.com/subject/1299624/,tt0127468
指环王1：护戒使者 / The Lord of the Rings: The Fellowship of t...,4,2019/4/14,亚文好美。,2001/12/19,美国,https://movie.douban.com/subject/1291571/,tt0120737
指环王2：双塔奇兵 / The Lord of the Rings: The Two Towers,4,2019/4/14,,2002/12/5,纽约首映,https://movie.douban.com/subject/1291572/,tt0167261
指环王3：王者无敌 / The Lord of the Rings: The Return of the King,4,2019/4/14,山姆真的是无敌了...,2003/12/17,美国,https://movie.douban.com/subject/1291552/,tt0167260
春风沉醉的夜晚,4,2019/4/7,陈思诚唱歌真好听呀！秦昊与之形成鲜明对比。,2009/5/14,戛纳电影节,https://movie.douban.com/subject/3690289/,tt1422119
天水围的日与夜 / 天水圍的日與夜,5,2019/3/31,做人吶真是很難哦？有多難哦。人世间的悲欢离合，最后都会变成那普普通通的一天。可明明就是再普通不过的每一天，却有让人痛哭流涕的力量。,2008/7/17,中国香港,https://movie.douban.com/subject/3077668/,tt1233499
青木瓜之味 / Mùi đu đủ xanh,5,2019/3/30,明亮活泼的电影，一部越南女性群像。,,,https://movie.douban.com/subject/1291553/,tt0107617
蜘蛛侠：平行宇宙 / Spider-Man: Into the Spider-Verse,4,2019/3/23,炫酷,2018/12/14,美国,https://movie.douban.com/subject/26374197/,tt4633694
无敌破坏王2：大闹互联网 / Ralph Breaks the Internet,4,2019/3/16,哈哈哈哈，还算合格。,2018/11/21,美国,https://movie.douban.com/subject/20438964/,tt5848272
断背山 / Brokeback Mountain,5,2019/3/15,,2005/9/2,威尼斯电影节,https://movie.douban.com/subject/1418834/,tt0388795
驯龙高手 / How to Train Your Dragon,4,2019/3/12,哈哈哈哈哈哈，摸头与被摸头。,2010/3/18,俄罗斯,https://movie.douban.com/subject/2353023/,tt0892769
心灵捕手 / Good Will Hunting,5,2019/3/12,本以为是一群天才数学家探索人类未知的世界，结果是一个落魄心理学家拯救问题少年。因此电影的深度比想象中高了很多。,1997/12/5,美国,https://movie.douban.com/subject/1292656/,tt0119217
小偷家族 / 万引き家族,4,2019/3/9,,2018/5/13,戛纳电影节,https://movie.douban.com/subject/27622447/,tt8075192
疯狂的外星人,2,2019/2/12,,2019/2/5,中国大陆,https://movie.douban.com/subject/25986662/,tt6660238
流浪地球,4,2019/2/9,真的是硬科幻了，虽然还有些槽点，但已经很厉害了。感情部分较为薄弱，台词很尴尬。,2019/2/5,中国大陆,https://movie.douban.com/subject/26266893/,tt7605074
飞驰人生,3,2019/2/9,还是韩寒一惯的风格:为了段子编故事。每一个情节似乎都是为了讲冷段子而生的，完全把推动剧情发展放到了次要的位置，和韩寒的文风倒是很像。最后的赛车戏拍的很好，但由于段子太多，所以并不能感觉到主角对于赛车的热爱。,2019/2/5,中国大陆,https://movie.douban.com/subject/30163509/,tt9597190
哈勃望远镜 / Hubble 3D,4,2019/2/5,,2010/3/19,加拿大,https://movie.douban.com/subject/3725324/,tt1433813
记我的母亲 / わが母の記,4,2019/1/28,,2012/4/28,日本,https://movie.douban.com/subject/5975206/,tt1818443
绿皮书 / Green Book,5,2019/1/19,,2018/9/11,多伦多电影节,https://movie.douban.com/subject/27060077/,tt6966692
波西米亚狂想曲 / Bohemian Rhapsody,4,2019/1/18,比较适合在电影院看。本身比较中规中矩吧，对皇后乐队创作音乐精神的描写还是挺生动的。,2018/11/2,美国,https://movie.douban.com/subject/5300054/,tt1727824
穿条纹睡衣的男孩 / The Boy in the Striped Pajamas,4,2019/1/15,恐怖片,2008/9/12,英国,https://movie.douban.com/subject/3008247/,tt0914798
奇迹 / 奇跡,5,2019/1/14,"是枝裕和的电影总是能把普通的生活拍得如童话一般。孩子们遇见的每个人都是充满爱心的人。老师，图书馆的女老师，爷爷，去看火车夜宿的那家老爷爷老奶奶。
2020.06.27二刷：这次记住的，是半夜留宿的老爷爷老奶奶门口那静静摆好的碗筷。",2011/6/11,日本,https://movie.douban.com/subject/4832288/,tt1650453
狗十三,5,2019/1/13,想养一只猫。最喜欢的是电影的第一幕：脸上开始有青春痘的女孩，机灵的眼球在眼眶里打转，脑子里是青春期的各种烦恼，偶尔冒出一些稀奇古怪的想法。,2013/10/11,华语青年影像论坛,https://movie.douban.com/subject/25716096/,tt3401962
无名之辈,3,2019/1/11,前面挺不错的，后半段什么鬼。,2018/11/16,中国大陆,https://movie.douban.com/subject/27110296/,tt9282616
我能说 / 아이 캔 스피크,4,2018/12/22,剧本可以拍得更好的。原本可以让人泪流满面的地方，却拍得没有那种感觉。,2017/9/21,韩国,https://movie.douban.com/subject/27000061/,tt7342204
西西里的美丽传说 / Malèna,5,2018/12/17,这人间丑陋，无知，懦弱的灵魂啊。如果说西西里是美丽的，那么在这部电影里也只有女主是美丽的，无知群众都是丑恶的。,2000/10/27,意大利,https://movie.douban.com/subject/1292402/,tt0213847
天堂电影院 / Nuovo Cinema Paradiso,5,2018/12/16,经典电影就是有这样的力量，在某个不经意间，以一个全新的方式出现在另一部电影里。比如在女孩窗下站上99天，又或者是梦想重要还是爱情更重要。看的是导演剪辑版，后半部分较为冗长。,1988/11/17,意大利,https://movie.douban.com/subject/1291828/,tt0095765
登月第一人 / First Man,4,2018/12/15,不太喜欢女主的设定。,2018/8/29,威尼斯电影节,https://movie.douban.com/subject/3026559/,tt1213641
末代皇帝 / The Last Emperor,4,2018/12/13,最喜欢溥仪出宫的场景，配乐神了。整部电影是一出外国人眼中的中国末代皇帝史诗，较有代表性的是对慈禧形象的刻画，有一些西方女巫的影子。但纵观整部片子，并没有觉得中国人说英语有多么的违和，对历史的还原和想象比较让人信服。,1987/10/4,东京国际电影节,https://movie.douban.com/subject/1293172/,tt0093389
一次别离 / جدایی نادر از س...,5,2018/12/10,这是什么神仙电影！我已经不知道该怎么吹它了。对人物感情的刻画不能再好了。,2011/2/15,柏林电影节,https://movie.douban.com/subject/5964718/,tt1832382
找到你,3,2018/12/9,马伊琍的表演最好，其次剧本不错，案件的进展过程也很流畅。不足，有些地方台词略显生硬，前半段感觉拍得不够用心。最后结局减半星，作为本方代理律师，不能说出这种话。,2018/6/17,上海电影节,https://movie.douban.com/subject/27140071/,tt9034530
小鞋子 / بچه های آسمان,5,2018/12/9,小鞋子想要表现的不仅仅是小孩子的纯真的心灵，还有每个人之间的，共同的真善美。即使家里没糖了，爸爸也不会去偷偷的用别人的糖。电影镜头简单纯粹，正如孩子的心灵。最喜欢的就是那一次次的笑容。,1997/2/1,曙光旬国际电影节,https://movie.douban.com/subject/1303021/,tt0118849
本杰明·巴顿奇事 / The Curious Case of Benjamin Button,3,2018/12/8,"本杰明巴顿的大型流水帐。后几十分钟其实还不错。但因为要讲述的时间太长，片段过多，加上镜头切换速度过快，就给人一种“点到即止”的感觉。人物之间的感情来得快，伴随着一个场景的结束也立即戛然而止。所以我并没有被感动到。
可以感觉得到这是一个想要拍成阿甘正传的故事，但两个多小时过去了，却给了我什么都没说的感觉。",2008/12/25,美国,https://movie.douban.com/subject/1485260/,tt0421715
福原爱：镜头下的四分之一个世纪 / だから君を見つめてきた～卓球...,4,2018/12/3,可爱,2017/2/10,日本,https://movie.douban.com/subject/26974345/,tt12759654
赛德克·巴莱(上)：太阳旗 / 賽德克·巴萊(上)太陽旗,4,2018/12/3,,2011/9/9,中国台湾,https://movie.douban.com/subject/10450409/,tt2007993
到阜阳六百里,5,2018/12/3,"""回家了，不回来了。""听了让人想哭。",2011/12/23,中国台湾,https://movie.douban.com/subject/4291275/,tt1733271
美食总动员 / Ratatouille,4,2018/12/1,最好吃的菜是妈妈做的菜。,2007/6/29,美国,https://movie.douban.com/subject/1793491/,tt0382932
无敌破坏王 / Wreck-It Ralph,4,2018/11/30,"I’m bad,and that’s good.(1 有用)",2012/11/2,美国,https://movie.douban.com/subject/6534248/,tt1772341
唐山大地震,,2018/11/22,,2010/7/22,中国大陆,https://movie.douban.com/subject/3596502/,tt1393746
功夫,5,2018/11/22,,2004/9/14,多伦多电影节,https://movie.douban.com/subject/1291543/,tt0373074
疯狂的石头,5,2018/11/22,,2006/6/30,中国大陆,https://movie.douban.com/subject/1862151/,tt0843270
源代码 / Source Code,,2018/11/22,,2011/3/11,西南偏南电影节,https://movie.douban.com/subject/3075287/,tt0945513
战争之王 / Lord of War,,2018/11/22,,2005/9/16,美国,https://movie.douban.com/subject/1419936/,tt0399295
蓝色大门 / 藍色大門,,2018/11/22,,2002/9/27,中国台湾,https://movie.douban.com/subject/1308575/,tt0333764
南京！南京！,,2018/11/22,,2009/4/22,中国大陆,https://movie.douban.com/subject/2294568/,tt1124052
志明与春娇 / 志明與春嬌,,2018/11/22,,2010/3/25,中国香港,https://movie.douban.com/subject/4305436/,tt1602479
泰坦尼克号 / Titanic,5,2018/11/22,煽情片段可以用绝美来形容了。,1997/11/1,东京电影节,https://movie.douban.com/subject/1292722/,tt0120338
疯狂的麦克斯4：狂暴之路 / Mad Max: Fury Road,,2018/11/22,,2015/5/14,澳大利亚,https://movie.douban.com/subject/3592854/,tt1392190
一个都不能少,5,2018/11/22,,1999/9/7,威尼斯电影节,https://movie.douban.com/subject/1294963/,tt0209189
哈利·波特与死亡圣器(上) / Harry Potter and the Deathly Hallow...,,2018/11/22,,2010/11/19,中国大陆,https://movie.douban.com/subject/2051007/,tt0926084
夜·店,,2018/11/22,,,,https://movie.douban.com/subject/3683409/,tt1514426
复仇者联盟 / The Avengers,,2018/11/22,,2012/5/4,美国,https://movie.douban.com/subject/1866479/,tt0848228
蜡笔小新：呼风唤雨！猛烈！大人帝国的反击 / クレヨンしんちゃん ...,4,2018/11/22,,2001/4/21,日本,https://movie.douban.com/subject/1958667/,tt0831848
海上钢琴师 / La leggenda del pianista sull'oceano,5,2018/11/22,,1998/10/28,意大利,https://movie.douban.com/subject/1292001/,tt0120731
秒速5厘米 / 秒速5センチメートル,,2018/11/22,,2007/3/3,日本,https://movie.douban.com/subject/2043546/,tt0983213
变形金刚 / Transformers,,2018/11/22,,2007/7/3,美国,https://movie.douban.com/subject/1794171/,tt0418279
龙门飞甲,,2018/11/22,,2011/12/15,中国大陆,https://movie.douban.com/subject/4896304/,tt1686784
八月迷情 / August Rush,,2018/11/22,,2007/11/21,美国,https://movie.douban.com/subject/1844413/,tt0426931
不要和陌生人说话,,2018/11/22,,2001/10/22,中国大陆,https://movie.douban.com/subject/2148374/,tt9377590
哈利·波特与阿兹卡班的囚徒 / Harry Potter and the Prisoner of ...,,2018/11/22,,2004/5/31,英国,https://movie.douban.com/subject/1291544/,tt0304141
人在囧途,,2018/11/22,,2010/6/4,中国大陆,https://movie.douban.com/subject/4237879/,tt1737237
赛德克·巴莱(下)：彩虹桥 / 賽德克·巴萊(下)彩虹橋,,2018/11/22,,2011/9/30,中国台湾,https://movie.douban.com/subject/6393127/,tt4164468
加勒比海盗 / Pirates of the Caribbean: The Curse of the Black ...,,2018/11/22,,2003/7/9,美国,https://movie.douban.com/subject/1298070/,tt0325980
笑林小子,,2018/11/22,,1994/4/15,中国香港,https://movie.douban.com/subject/1408312/,tt0111765
玩具总动员3 / Toy Story 3,,2018/11/22,,2010/6/16,中国大陆,https://movie.douban.com/subject/1858711/,tt0435761
白丝带 / Das weiße Band – Eine deutsche Kindergeschichte,,2018/11/22,,2009/9/17,德国,https://movie.douban.com/subject/2464346/,tt1149362
"怪兽电力公司 / Monsters, Inc.",5,2018/11/22,,2001/11/2,美国,https://movie.douban.com/subject/1291579/,tt0198781
变形金刚3 / Transformers: Dark of the Moon,,2018/11/22,,2011/6/29,美国,https://movie.douban.com/subject/3610047/,tt1399103
冰川时代 / Ice Age,,2018/11/22,,2002/3/15,美国,https://movie.douban.com/subject/1291578/,tt0268380
禁闭岛 / Shutter Island,,2018/11/22,,2010/2/13,柏林电影节,https://movie.douban.com/subject/2334904/,tt1130884
哈利·波特与混血王子 / Harry Potter and the Half-Blood Prince,,2018/11/22,,2009/7/6,英国,https://movie.douban.com/subject/1433330/,tt0417741
叶问2：宗师传奇,,2018/11/22,,2010/4/27,中国大陆,https://movie.douban.com/subject/3578981/,tt1386932
让子弹飞,3,2018/11/22,,2010/12/16,中国大陆,https://movie.douban.com/subject/3742360/,tt1533117
搏击俱乐部 / Fight Club,,2018/11/22,,1999/9/10,威尼斯电影节,https://movie.douban.com/subject/1292000/,tt0137523
叶问 / 葉問,,2018/11/22,,2008/12/12,中国大陆,https://movie.douban.com/subject/3041806/,tt1220719
大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣,,2018/11/22,,1995/2/4,中国香港,https://movie.douban.com/subject/1292213/,tt0114996
机器人总动员 / WALL·E,,2018/11/22,,2008/6/27,美国,https://movie.douban.com/subject/2131459/,tt0910970
冒牌天神 / Bruce Almighty,,2018/11/22,,,,https://movie.douban.com/subject/1297018/,tt0315327
希特勒回来了 / Er ist wieder da,,2018/11/22,,2015/10/8,德国,https://movie.douban.com/subject/26585014/,tt4176826
集结号,,2018/11/22,,2007/12/20,中国大陆,https://movie.douban.com/subject/1907464/,tt0881200
非诚勿扰2,,2018/11/22,,2010/12/22,中国大陆,https://movie.douban.com/subject/4271894/,tt1810602
天空之城 / 天空の城ラピュタ,,2018/11/22,,1986/8/2,日本,https://movie.douban.com/subject/1291583/,tt0092067
喜剧之王 / 喜劇之王,,2018/11/22,,1999/2/13,中国香港,https://movie.douban.com/subject/1302425/,tt0188766
变形金刚2 / Transformers: Revenge of the Fallen,,2018/11/22,,2009/6/19,英国,https://movie.douban.com/subject/2146991/,tt1055369
非诚勿扰,3,2018/11/22,风景很美,2008/12/18,中国大陆,https://movie.douban.com/subject/3313801/,tt1330607
星空,,2018/11/22,,2011/11/3,中国大陆,https://movie.douban.com/subject/5993185/,tt2084098
狄仁杰之通天帝国,,2018/11/22,,2010/9/5,威尼斯电影节,https://movie.douban.com/subject/3412830/,tt1123373
社交网络 / The Social Network,,2018/11/22,,2010/9/24,纽约电影节,https://movie.douban.com/subject/3205624/,tt1285016
哈尔的移动城堡 / ハウルの動く城,,2018/11/22,,2004/9/5,威尼斯电影节,https://movie.douban.com/subject/1308807/,tt0347149
山楂树之恋,,2018/11/22,,2010/9/16,中国大陆,https://movie.douban.com/subject/4151110/,tt1554523
拯救大兵瑞恩 / Saving Private Ryan,,2018/11/22,,1998/7/24,美国,https://movie.douban.com/subject/1292849/,tt0120815
哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone,,2018/11/22,,2001/11/4,英国首映,https://movie.douban.com/subject/1295038/,tt0241527
哈利·波特与密室 / Harry Potter and the Chamber of Secrets,,2018/11/22,,2002/11/15,英国,https://movie.douban.com/subject/1296996/,tt0295297
哈利·波特与火焰杯 / Harry Potter and the Goblet of Fire,,2018/11/22,,2005/11/6,英国,https://movie.douban.com/subject/1309055/,tt0330373
哈利·波特与凤凰社 / Harry Potter and the Order of the Phoenix,,2018/11/22,,2007/7/11,美国,https://movie.douban.com/subject/1457217/,tt0373889
妖猫传,4,2018/11/20,云想衣裳花想容，春风拂槛露华浓。玄宗爱杨玉环吗？应该是爱的吧。但他更爱这大唐盛世。凤栖楼里藏着的玉环的头发，也不过是他眼中的大唐盛世。,2017/12/22,中国大陆,https://movie.douban.com/subject/5350027/,tt6157626
快把我哥带走,3,2018/11/18,,2018/8/17,中国大陆,https://movie.douban.com/subject/30122633/,tt8774260
我的父亲母亲,5,2018/11/17,章子怡为啥能这么好看。,1999/10/16,中国大陆,https://movie.douban.com/subject/1294007/,tt0235060
地心引力 / Gravity,4,2018/11/16,片名叫Gravity。女主从太空终于回到地球，再次感受到了重力。重力代表的就是希望吧。,2013/8/28,威尼斯电影节,https://movie.douban.com/subject/3793783/,tt1454468
银翼杀手2049 / Blade Runner 2049,4,2018/11/16,影片中，K曾两次伸出手，去感受从天而降的雪花。第一次是他以为自己是那个被生出来的孩子，他感觉到自己有了灵魂。第二次是知道自己不是那个孩子以后，他终于有了灵魂。,2017/10/6,美国,https://movie.douban.com/subject/10512661/,tt1856101
西虹市首富,3,2018/11/16,,2018/7/27,中国大陆,https://movie.douban.com/subject/27605698/,tt8529186
盗梦空间 / Inception,5,2018/11/16,,2010/7/16,美国,https://movie.douban.com/subject/3541415/,tt1375666
楚门的世界 / The Truman Show,5,2018/11/16,,1998/6/5,美国,https://movie.douban.com/subject/1292064/,tt0120382
活着,5,2018/11/16,,1994/5/17,戛纳电影节,https://movie.douban.com/subject/1292365/,tt0110081
十二怒汉 / 12 Angry Men,5,2018/11/16,,1957/4/13,美国,https://movie.douban.com/subject/1293182/,tt0050083
肖申克的救赎 / The Shawshank Redemption,5,2018/11/16,自由,1994/9/10,多伦多电影节,https://movie.douban.com/subject/1292052/,tt0111161
辛德勒的名单 / Schindler's List,5,2018/11/16,,1993/11/30,华盛顿首映,https://movie.douban.com/subject/1295124/,tt0108052
这个杀手不太冷 / Léon,5,2018/11/16,,1994/9/14,法国,https://movie.douban.com/subject/1295644/,tt0110413
阿甘正传 / Forrest Gump,5,2018/11/16,,1994/6/23,洛杉矶首映,https://movie.douban.com/subject/1292720/,tt0109830
当幸福来敲门 / The Pursuit of Happyness,5,2018/11/16,感动,2006/12/15,美国,https://movie.douban.com/subject/1849031/,tt0454921
贫民窟的百万富翁 / Slumdog Millionaire,4,2018/11/16,,2008/8/30,特柳赖德电影节,https://movie.douban.com/subject/2209573/,tt1010048
放牛班的春天 / Les choristes,5,2018/11/16,,2004/3/17,法国,https://movie.douban.com/subject/1291549/,tt0372824
怦然心动 / Flipped,5,2018/11/16,,2010/7/26,好莱坞首映,https://movie.douban.com/subject/3319755/,tt0817177
穿普拉达的女王 / The Devil Wears Prada,4,2018/11/16,,2006/6/30,美国,https://movie.douban.com/subject/1482072/,tt0458352
我的野蛮女友 / 엽기적인 그녀,5,2018/11/16,,2001/7/27,韩国,https://movie.douban.com/subject/1292286/,tt0293715
死侍2：我爱我家 / Deadpool 2,4,2018/11/16,,2018/5/18,美国,https://movie.douban.com/subject/26588308/,tt5463162
死侍 / Deadpool,3,2018/11/16,,2016/2/12,美国,https://movie.douban.com/subject/3718279/,tt1431045
地下交通站,5,2018/11/16,现在已经没有这样的情景喜剧了吧。家有儿女，闲人马大姐，东北一家人，炊事班的故事。贾贵，真的是整个东亚，都再也找不出一张这样的脸了。不过最喜欢的还是黄队长，那小得意的表情，绝了。,2007/5/6,中国大陆,https://movie.douban.com/subject/2133474/,
火蓝刀锋,5,2018/11/16,虽然这部剧剧情，特效不怎么样，但人物刻画是真的到位。,2012/9/29,中国大陆,https://movie.douban.com/subject/10566537/,
江湖儿女,3,2018/11/16,,2018/5/11,戛纳电影节,https://movie.douban.com/subject/26972258/,tt7298400
战狼2,1,2018/11/15,被迫害妄想症咋那么强呢。直男癌有多恐怖。(2 有用),2017/7/27,中国大陆,https://movie.douban.com/subject/26363254/,tt7131870
血观音 / 血觀音,4,2018/11/3,,2017/10/15,釜山电影节,https://movie.douban.com/subject/27113517/,tt7479784
碟中谍6：全面瓦解 / Mission: Impossible - Fallout,4,2018/9/19,刺激,2018/7/27,美国,https://movie.douban.com/subject/26336252/,tt4912910
光辉岁月 / Remember the Titans,4,2018/9/19,,2000/9/29,美国,https://movie.douban.com/subject/1292943/,tt0210945
无人知晓 / 誰も知らない,5,2018/8/5,,2004/5/13,戛纳电影节,https://movie.douban.com/subject/1292337/,tt0408664
后来的我们,2,2018/7/15,,2018/4/28,中国大陆,https://movie.douban.com/subject/26683723/,tt8033592
超时空同居,4,2018/7/5,,2018/5/18,中国大陆,https://movie.douban.com/subject/27133303/,tt8404272
我不是药神,4,2018/7/5,程勇被张长林举报，警察来搜查，他因害怕被抓将代理权给了张长林。这没什么好羞愧的。身旁的人根本没权利去指责他。后来他又因为羞愧，开始卖药，还以500块的价格卖进价2000的药。这点羞愧还不值得他这样对待这群和他不相干的人。电影总体值得赞赏。,2018/6/30,大规模点映,https://movie.douban.com/subject/26752088/,tt7362036
如父如子 / そして父になる,5,2018/5/31,,2013/9/28,日本,https://movie.douban.com/subject/10571509/,tt2331143
